transport,req,reply,conc,threads,n_reps,mrps_med,mrps_lo,mrps_hi,gbps_med,gbps_lo,gbps_hi,p50_med,p50_lo,p50_hi,p99_med,p99_lo,p99_hi,host_client_pct_med,host_client_pct_lo,host_client_pct_hi,host_server_pct_med,host_server_pct_lo,host_server_pct_hi,host_total_pct_med,host_total_pct_lo,host_total_pct_hi,dpu_arm_pct_med,dpu_arm_pct_lo,dpu_arm_pct_hi,host_us_per_req_med,host_us_per_req_lo,host_us_per_req_hi,dpu_arm_us_per_req_med,dpu_arm_us_per_req_lo,dpu_arm_us_per_req_hi,host_cores_per_gbps_med,host_cores_per_gbps_lo,host_cores_per_gbps_hi,dpu_arm_cores_per_gbps_med,dpu_arm_cores_per_gbps_lo,dpu_arm_cores_per_gbps_hi
direct,64,8,32,1,5,1.342296,1.252662,1.374564,0.687300,0.641400,0.703800,21.000000,20.000000,24.000000,27.000000,25.000000,29.000000,67.800000,64.700000,71.800000,39.200000,38.000000,41.100000,106.200000,103.900000,112.700000,0.000000,0.000000,0.000000,0.811166,0.779956,0.839606,0.000000,0.000000,0.000000,1.584257,1.523454,1.639750,0.000000,0.000000,0.000000
dpumesh,64,8,32,1,5,0.251896,0.235518,0.258353,0.129000,0.120600,0.132300,117.000000,116.000000,117.000000,287.000000,232.000000,401.000000,14.500000,13.700000,14.900000,11.800000,11.300000,11.900000,26.100000,25.500000,26.500000,264.200000,251.700000,266.100000,1.036344,1.025728,1.082720,10.488456,10.299861,10.687081,2.023529,2.003023,2.114428,20.480620,20.113379,20.870647
tcp,64,8,32,1,5,0.508218,0.485996,0.512405,0.260200,0.248800,0.262400,60.000000,60.000000,63.000000,68.000000,66.000000,70.000000,55.400000,52.400000,57.300000,47.000000,44.500000,48.500000,101.800000,100.900000,102.400000,0.000000,0.000000,0.000000,2.000436,1.969146,2.104956,0.000000,0.000000,0.000000,3.906370,3.845274,4.111736,0.000000,0.000000,0.000000
direct,1024,8,32,1,5,0.922713,0.910896,0.956812,7.558900,7.462100,7.838200,32.000000,31.000000,32.000000,36.000000,35.000000,37.000000,60.100000,58.000000,60.900000,40.300000,38.400000,41.200000,99.300000,97.300000,101.400000,0.000000,0.000000,0.000000,1.075091,1.016919,1.113190,0.000000,0.000000,0.000000,0.131236,0.124136,0.135887,0.000000,0.000000,0.000000
dpumesh,1024,8,32,1,5,0.247642,0.238424,0.250273,2.028700,1.953200,2.050200,118.000000,118.000000,118.000000,288.000000,283.000000,403.000000,20.200000,19.700000,22.500000,24.900000,23.900000,27.000000,45.100000,43.600000,49.500000,313.600000,303.400000,320.600000,1.841258,1.802032,1.984636,12.810011,12.180454,13.178204,0.224759,0.219979,0.242267,1.563750,1.486883,1.608642
tcp,1024,8,32,1,5,0.419065,0.398830,0.433068,3.433000,3.267200,3.547700,74.000000,71.000000,78.000000,82.000000,79.000000,94.000000,53.700000,52.300000,54.000000,45.900000,44.800000,46.800000,99.100000,98.600000,100.400000,0.000000,0.000000,0.000000,2.364788,2.276779,2.517363,0.000000,0.000000,0.000000,0.288669,0.277927,0.307297,0.000000,0.000000,0.000000
direct,8192,8,32,1,5,0.474706,0.471263,0.477760,31.110300,30.884700,31.310400,72.000000,70.000000,72.000000,94.000000,93.000000,100.000000,98.600000,98.500000,98.600000,91.500000,90.400000,93.000000,190.100000,188.900000,191.600000,0.000000,0.000000,0.000000,4.004584,3.978985,4.044472,0.000000,0.000000,0.000000,0.061105,0.060715,0.061714,0.000000,0.000000,0.000000
dpumesh,8192,8,32,1,5,0.180773,0.178872,0.182703,11.847100,11.722500,11.973600,185.000000,184.000000,185.000000,248.000000,246.000000,302.000000,34.100000,33.500000,34.900000,57.600000,56.500000,59.700000,91.400000,90.600000,94.300000,419.900000,381.000000,424.200000,5.081730,4.958868,5.216487,23.345936,20.853516,23.486068,0.077541,0.075666,0.079598,0.356231,0.318200,0.358371
tcp,8192,8,32,1,5,0.161476,0.158965,0.161988,10.582500,10.417900,10.616000,194.000000,194.000000,195.000000,395.000000,386.000000,395.000000,61.100000,60.400000,62.000000,57.500000,56.400000,57.900000,118.600000,116.800000,119.800000,0.000000,0.000000,0.000000,7.347529,7.342844,7.395610,0.000000,0.000000,0.000000,0.112115,0.112042,0.112849,0.000000,0.000000,0.000000
direct,65536,8,32,1,5,0.064986,0.062486,0.066212,34.071500,32.760700,34.714000,464.000000,445.000000,490.000000,943.000000,921.000000,989.000000,98.800000,98.700000,99.000000,78.900000,78.100000,84.300000,177.600000,177.100000,183.100000,0.000000,0.000000,0.000000,27.653598,27.267411,28.342349,0.000000,0.000000,0.000000,0.052745,0.052008,0.054059,0.000000,0.000000,0.000000
dpumesh,65536,8,32,1,5,0.016164,0.016099,0.016277,8.474400,8.440600,8.534000,238.000000,236.000000,240.000000,307.000000,304.000000,318.000000,31.400000,31.000000,32.100000,53.200000,49.300000,55.700000,85.000000,80.700000,87.800000,367.000000,351.400000,369.500000,52.673979,49.579161,54.117357,227.427651,218.274427,227.749014,0.100468,0.094563,0.103220,0.433786,0.416321,0.434394
tcp,65536,8,32,1,5,0.023608,0.022535,0.024062,12.377600,11.814800,12.615200,1506.000000,1502.000000,1540.000000,1844.000000,1840.000000,1852.000000,74.800000,71.900000,76.000000,64.500000,62.500000,65.800000,139.300000,134.400000,141.800000,0.000000,0.000000,0.000000,59.005422,58.873003,59.640559,0.000000,0.000000,0.000000,0.112542,0.112289,0.113756,0.000000,0.000000,0.000000
direct,1048576,8,32,1,5,0.003680,0.003653,0.003691,30.871700,30.644100,30.966300,8417.000000,8390.000000,8481.000000,16888.000000,16848.000000,17029.000000,98.800000,97.900000,99.000000,59.800000,59.200000,60.000000,158.600000,157.200000,159.000000,0.000000,0.000000,0.000000,430.777567,426.749864,432.065217,0.000000,0.000000,0.000000,0.051346,0.050871,0.051513,0.000000,0.000000,0.000000
dpumesh,1048576,8,32,1,5,0.001669,0.001668,0.001692,14.002600,13.994000,14.193200,759.000000,752.000000,763.000000,834.000000,825.000000,939.000000,33.700000,32.800000,33.900000,56.900000,56.200000,57.500000,90.300000,90.100000,91.200000,365.300000,356.100000,366.400000,540.767386,532.505910,546.434991,2182.251340,2134.892086,2192.446043,0.064456,0.063481,0.065131,0.260157,0.254466,0.261309
tcp,1048576,8,32,1,5,0.001697,0.001649,0.001721,14.233600,13.835500,14.436900,7022.000000,7001.000000,7271.000000,9392.000000,9378.000000,9757.000000,98.300000,98.100000,98.600000,65.000000,63.300000,66.400000,163.200000,161.900000,164.700000,0.000000,0.000000,0.000000,961.697113,954.598370,984.251969,0.000000,0.000000,0.000000,0.114658,0.113826,0.117338,0.000000,0.000000,0.000000
